                                                     9 Jul 2020 11:53:19
Sensor-Camera


      Time (UTCG)          camera_integral (HMS)    camera_integral Rate
1 Jul 2020 10:30:20.000            -01:02:20.609                0.000000
1 Jul 2020 10:30:30.000            -01:02:20.609                0.000000
1 Jul 2020 10:30:40.000            -01:02:20.609                0.000000
1 Jul 2020 10:30:50.000            -01:02:20.609                0.000000
1 Jul 2020 10:31:00.000            -01:02:20.609                0.000000
1 Jul 2020 10:31:10.000            -01:02:20.609                0.000000
1 Jul 2020 10:31:20.000            -01:02:20.609                0.000000
1 Jul 2020 10:31:30.000            -01:02:20.609                0.000000
1 Jul 2020 10:31:40.000            -01:02:20.609                0.000000
1 Jul 2020 10:31:50.000            -01:02:20.609                0.000000
1 Jul 2020 10:32:00.000            -01:02:20.609                0.000000
1 Jul 2020 10:32:10.000            -01:02:20.609                0.000000
1 Jul 2020 10:32:20.000            -01:02:20.609                0.000000
1 Jul 2020 10:32:30.000            -01:02:20.609                0.000000
1 Jul 2020 10:32:40.000            -01:02:20.609                0.000000
1 Jul 2020 10:32:50.000            -01:02:20.609                0.000000
1 Jul 2020 10:33:00.000            -01:02:26.117               -5.000000
1 Jul 2020 10:33:10.000            -01:03:16.117               -5.000000
1 Jul 2020 10:33:20.000            -01:04:06.117               -5.000000
1 Jul 2020 10:33:30.000            -01:04:56.117               -5.000000
1 Jul 2020 10:33:40.000            -01:05:46.117               -5.000000
1 Jul 2020 10:33:50.000            -01:06:36.117               -5.000000
1 Jul 2020 10:34:00.000            -01:07:26.117               -5.000000
1 Jul 2020 10:34:10.000            -01:08:16.117               -5.000000
1 Jul 2020 10:34:20.000            -01:09:06.117               -5.000000
1 Jul 2020 10:34:30.000            -01:09:56.117               -5.000000
1 Jul 2020 10:34:40.000            -01:10:46.117               -5.000000
1 Jul 2020 10:34:50.000            -01:11:36.117               -5.000000
1 Jul 2020 10:35:00.000            -01:12:26.117               -5.000000
1 Jul 2020 10:35:10.000            -01:13:16.117               -5.000000
1 Jul 2020 10:35:20.000            -01:14:06.117               -5.000000
1 Jul 2020 10:35:30.000            -01:14:56.117               -5.000000
1 Jul 2020 10:35:40.000            -01:15:46.117               -5.000000
1 Jul 2020 10:35:50.000            -01:16:36.117               -5.000000
1 Jul 2020 10:36:00.000            -01:17:26.117               -5.000000
1 Jul 2020 10:36:10.000            -01:18:16.117               -5.000000
1 Jul 2020 10:36:20.000            -01:19:06.117               -5.000000
1 Jul 2020 10:36:30.000            -01:19:56.117               -5.000000
1 Jul 2020 10:36:40.000            -01:20:46.117               -5.000000
1 Jul 2020 10:36:50.000            -01:21:36.117               -5.000000
1 Jul 2020 10:37:00.000            -01:22:26.117               -5.000000
1 Jul 2020 10:37:10.000            -01:23:16.117               -5.000000
1 Jul 2020 10:37:20.000            -01:24:06.117               -5.000000
1 Jul 2020 10:37:30.000            -01:24:56.117               -5.000000
1 Jul 2020 10:37:40.000            -01:25:46.117               -5.000000
1 Jul 2020 10:37:50.000            -01:26:36.117               -5.000000
1 Jul 2020 10:38:00.000            -01:27:26.117               -5.000000
1 Jul 2020 10:38:10.000            -01:28:16.117               -5.000000
1 Jul 2020 10:38:20.000            -01:29:06.117               -5.000000
1 Jul 2020 10:38:30.000            -01:29:56.117               -5.000000
1 Jul 2020 10:38:40.000            -01:30:46.117               -5.000000
1 Jul 2020 10:38:50.000            -01:31:36.117               -5.000000
1 Jul 2020 10:39:00.000            -01:32:26.117               -5.000000
1 Jul 2020 10:39:10.000            -01:33:16.117               -5.000000
1 Jul 2020 10:39:20.000            -01:34:06.117               -5.000000
1 Jul 2020 10:39:30.000            -01:34:56.117               -5.000000
1 Jul 2020 10:39:40.000            -01:35:46.117               -5.000000
1 Jul 2020 10:39:50.000            -01:36:36.117               -5.000000
1 Jul 2020 10:40:00.000            -01:37:26.117               -5.000000
1 Jul 2020 10:40:10.000            -01:38:16.117               -5.000000
1 Jul 2020 10:40:20.000            -01:39:06.117               -5.000000
1 Jul 2020 10:40:30.000            -01:39:56.117               -5.000000
1 Jul 2020 10:40:40.000            -01:40:46.117               -5.000000
1 Jul 2020 10:40:50.000            -01:41:36.117               -5.000000
1 Jul 2020 10:41:00.000            -01:42:26.117               -5.000000
1 Jul 2020 10:41:10.000            -01:43:16.117               -5.000000
1 Jul 2020 10:41:20.000            -01:44:06.117               -5.000000
1 Jul 2020 10:41:30.000            -01:44:56.117               -5.000000
1 Jul 2020 10:41:40.000            -01:45:46.117               -5.000000
1 Jul 2020 10:41:50.000            -01:46:36.117               -5.000000
1 Jul 2020 10:42:00.000            -01:47:26.117               -5.000000
1 Jul 2020 10:42:10.000            -01:48:16.117               -5.000000
1 Jul 2020 10:42:20.000            -01:49:06.117               -5.000000
1 Jul 2020 10:42:30.000            -01:49:56.117               -5.000000
1 Jul 2020 10:42:40.000            -01:50:46.117               -5.000000
