                                                               9 Jul 2020 11:46:57
Transmitter-Transmitter


      Time (UTCG)          Consumption_integral (HMS)    Consumption_integral Rate
1 Jul 2020 10:43:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:43:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:43:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:43:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:44:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:44:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:44:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:44:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:44:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:44:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:45:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:45:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:45:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:45:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:45:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:45:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:46:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:46:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:46:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:46:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:46:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:46:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:47:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:47:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:47:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:47:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:47:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:47:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:48:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:48:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:48:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:48:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:48:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:48:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:49:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:49:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:49:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:49:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:49:40.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:49:50.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:50:00.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:50:10.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:50:20.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:50:30.000                 -13:13:17.797                     0.000000
1 Jul 2020 10:50:40.000                 -13:13:17.797                     0.000000
